Goal,Indicator,DR Congo,Chad,Nigeria,Ethiopia,Uganda,Pakistan,Iraq,Indonesia
1,Transmission Interupted,Yes,Yes,Yes,Yes,Yes   ,No,Yes,Yes
1,"Risk of late detection
Percent of adequate stool specimens (Rolling 12m) Target > 80%",90.9,97.8,99.1,93.1,91.3,89.9,86.1,95.4
1,"Risk of late detection
Non polio AFP rate (Rolling 12m ) 
Target > 2",5.5,6.3,18,2.5,3,9.4,4.1,1.6
1,"Risk of spread after importation Risk of spread after importation 
% of kids 6M-59M having received less than 3 doses in the last year before occurrence case/environmental positive)
",19,9,2,17,8,1,7,23
2,Coverage for TT (reported 2015),91%,96%,40%,92%,58%,68%,34%,63%
2,Protection at Birth against T (WUENIC 2014),82%,96%,55%,80%,85%,75%,72%,85%
2,Last SIAs conducted in the country,"last SIA was in July 2012, targeting 80/503 districts in the country. 
In addition, corrective rounds were organised in 2013 and 2014 in 75 of these districts","last SIAs occurred in 2014 and 2015. 
From 2014 to January 2015 a first SIA occurred in 35/84 districts of the country. 
In 2015 two rounds of another SIA took place in 46/84 other districts. ","The last activity happened in October 2014, targeting 62/774 districts of the country. 
A campaign was organised in May 2016.","4/817 districts were targeted in a campaign that occurred in summer 2015. 
It was the 3rd round of an activity that started in 2012.",N/A,Last activity done was in September 2013.,N/A,N/A
2,Elimination validation date,Not yet validated - Pre-validation assessment planned for Aug-Sept 2016,Not yet validated,Not yet validated - planning a pre-validation assessment in 1-2 geopolitical zones before the end of the year,partial validation in 2011 (remaining Somali Region likely before the end of 2016),Validated 2011,not yet validated. A validation survey being planned for Punjab in October/November 2016,Validated 2013,Validated May 2016
3,Coverage MCV1 (2014 WUENIC),77%,54%,51%,70%,82%,63%,57%,77%
3,Coverage MCV2 ,Not in schedule,Not in schedule,Not in schedule,Not in schedule,Not in schedule,53%,57%,79%
3,Percentage of districts with MCV1 coverage >=95% (2015 JRF),36%,22%,53%,30%,46%,33%,16%,39%
3,Last national SIA,2010,2012,2011,2013,2015,2008,2015,2007
3,Post SIA coverage survey conducted,No ,No,No,No,No,No,No,No
4,Coverage R ,Not introduced,Not introduced (2014),Not introduced (2014),Not introduced (2014),Not introduced (2014),Not introduced (2014),57%,Not introduced (2014)
4,SIAs planned?,SIAs planned for 2017,SIAs planned 2018,SIAs planned 2019,SIAs planned 2019,SIAs planned 2018,SIAs planned 2018,No information,SIAs planned 2017
5,National coverage (WUENIC 2014),80%,46%,66%,77%,78%,73%,64%,78%
5,"Drop out rate DTP1 DTP3 (2014 WUENIC)
(DTP1-DTP3)/DTP1*100",1%,23%,12%,10%,12%,8%,17%,17%
5,Actual numbers of children that dropped out (2014 WUENIC),26000,76000,610000,269000,173000,258000,135000,725000
5,Difference between poorest and richest quintile DTP3 coverage (2013 data),34.9,38.3,72.3,37.5,0.3,58.1,27.1,32.6
5,% District coverage reaching 80% coverage from 2015 JRF,86%,60%,80%,74%,89%,60%,36%,59
6,National Coverage   (2014 WUENIC),"BCG 90
DTP-HepB-Hib1: 81   
DTP-HepB-Hib3: 80  MCV1: 77
PCV3 61 
Pol3 79 
YFV 65
","BCG 59
DTP1 60
DTP3-HepB3-Hib 46
MCV1 54
Pol3 54
YFV 40","BCG: 74
DTP1 75
DTP3-HepB3-Hib3 66
MCV1 51
Pol3 66
YFV 49","BCG 75
DTP1 86
DTP3-HepB3-Hib3 77
MCV1 70
PCV3 76
Pol3 75
Rota 63","BCG 93
DTP1 89
DTP3-HepB3-Hib3 78
MCV1 82
PCV3 50
Pol3 82","BCG 85
DTP1 79
DTP3-HepB3-Hib3 73
MCV1 63
MCV2 53
PCV3 68
Pol3 72","BCG 95
DTP1 77
DTP3 64
HepB3 62
Hib3 64
MCV1 57
MCV2 57
Pol3 67
Rota 29","BCG 93
DTP1 94
DTP3-HepB3 78
Hib3 21
MCV1 77
MCV2 79
Pol3 79"
7,New Vaccines introduced,PCV in 2013,N/A,PCV in 2013; Rota planned 2017,PCV in 2011; Rota in 2013; HPV Demo in 2015,PCV in 2013; HPV in 2015 and Rota planned Q4 2016,PCV in 2012 and Rota planned in 2017,Rota in 2012 and PCV planned 2016?,N/A
8,UM5R 201 and 2015 (% diminution between 2010 and 2015) ,"2010: 116.1
2015: 98.3
(15.3%)
","2010: 160.1
2015: 138.7
(13.4%)","2010: 130.3
2015: 108.8
(16.5%)","2010: 75.7
2015: 59.2
(21.8%)","2010: 75.2
2015: 54.6
(27.4%)","2010: 91.8
2015: 81.1
(11.7%)","2010: 36.6
2015: 32
(12.6%)","2010: 33.1
2015: 27.2
(17.8%)"
9,NITAG established?,No (2014),No ,No ,No ,Yes (2015); No in 2014,Yes,Yes,Yes
10,Baseline 2010-2011 and average for 2013-2015 (% change),0.7 to 1.4 (+101%),4.3 to 4.8 (+13%),4.1 to 12.9 (+216%),14.8 to 12.1 (-18%),2.1 to 7.0 (+232%),8.5 to 5.8 (-32%),NA to 97.3,13.2 to 10.7 (-19%)
GNI 2014,na,410,980,2950,550,660,1410,6410,3650
WB Status,na,Low income,Low Income,Lower Middle Income,Low Income,Low Income,Lower Middle Income,Upper Middle Income,Lower Middle Income
Infant mortality (<12 M) 2015 UN IAG CME,na,75,85,69,41,38,66,27,23
Gavi Status,na,Eligible,Eligible,Eligible,Graduate,Eligible,Eligible,Not Eligible,Graduate
Total Population,na,"77,267,000","14,037,000","182,202,000","99,391,000","39,032,000","188,925,000","36,423,000","257,564,000"
Birth Cohort,na,"3,127,000","630,000","7,133,000","3,176,000","1,665,000","5,451,000","1,244,000","5,037,000"
Surviving Infants (JRF),na,"2,994,000","573,000","6,622,000","3,031,000","1,568,000","5,088,000","1,206,000","4,918,000"
