Goal,1a,1a-color,1b,1b-color,1c,1c-color,1d,1d-color,2a,2a-color,2b,2b-color,2c,2c-color,2d,2d-color,3a,3a-color,3b,3b-color,3c,3c-color,3d,3d-color,3e,3e-color,4a,4a-color,4b,4b-color,5a,5a-color,5b,5b-color,5c,5c-color,5d,5d-color,5e,5e-color,6a,6a-color,7a,7a-color,8a,8a-color,9a,9a-color,10a,10a-color,GNI 2014,WB Status,Infant mortality (<12 M) 2015 UN IAG CME,Gavi Status,Total Population,Birth Cohort,Surviving Infants (JRF),Report,ISO
Area,Interupt wild poliovirus transmission,,Interupt wild poliovirus transmission,,Interupt wild poliovirus transmission,,Interupt wild poliovirus transmission,,Neonatal tetanus elimination,,Neonatal tetanus elimination,,Neonatal tetanus elimination,,Neonatal tetanus elimination,,Measles Elimination,,Measles Elimination,,Measles Elimination,,Measles Elimination,,Measles Elimination,,Rubella/CRS Elimination,,Rubella/CRS Elimination,,Reach 90% national coverage and 80% in every district wiith DTP3cv,,Reach 90% national coverage and 80% in every district wiith DTP3cv,,Reach 90% national coverage and 80% in every district wiith DTP3cv,,Reach 90% national coverage and 80% in every district wiith DTP3cv,,Reach 90% national coverage and 80% in every district wiith DTP3cv,,Reach 90% and 80% coverage with all vaccines in national prorammes,,Introduction of new vaccines,,Reduction in under 5 mortality rate,,NITAG,,Government expenditure on routine immunization per live birth USD,,GNI 2014,WB Status,Infant mortality (<12 M) 2015 UN IAG CME,Gavi Status,Total Population,Birth Cohort,Surviving Infants (JRF),UGANDA_country_report.pdf,NA
Indicator,Transmission Interupted,,"Risk of late detection
Percent of adequate stool specimens (Rolling 12m) Target > 80%",,"Risk of late detection
Non polio AFP rate (Rolling 12m ) 
Target > 2",,"Risk of spread after importation Risk of spread after importation 
% of kids 6M-59M having received less than 3 doses in the last year before occurrence case/environmental positive)
",,Coverage for TT (reported 2015),,Protection at Birth against T (WUENIC 2014),,Last SIAs conducted in the country,,Elimination validation date,,Coverage MCV1 (2014 WUENIC),,Coverage MCV2,,Percentage of districts with MCV1 coverage >=95% (2015 JRF),,Last national SIA,,Post SIA coverage survey conducted,,Coverage R,,SIAs planned?,,National coverage (WUENIC 2014),,"Drop out rate DTP1 DTP3 (2014 WUENIC)
(DTP1-DTP3)/DTP1*100",,Actual numbers of children that dropped out (2014 WUENIC),,Difference between poorest and richest quintile DTP3 coverage (2013 data),,% District coverage reaching 80% coverage from 2015 JRF,,National Coverage   (2014 WUENIC),,New Vaccines introduced,,UM5R 201 and 2015 (% diminution between 2010 and 2015),,NITAG established?,,Baseline 2010-2011 and average for 2013-2015 (% change),,,,,,,,,UGANDA_country_report.pdf,NA
DR_Congo,Yes,green,90.90%,green,5.50%,red,19%,green,91%,green,82%,orange,"last SIA was in July 2012, targeting 80/503 districts in the country. 
In addition, corrective rounds were organised in 2013 and 2014 in 75 of these districts",red,Not yet validated - Pre-validation assessment planned for Aug-Sept 2016,orange,77%,red,Not in schedule,red,36%,red,2010,red,No,red,Not introduced,red,SIAs planned for 2017,green,80%,orange,1%,green,26000,green,34.9,red,86%,orange,"BCG 90
DTP-HepB-Hib1: 81   
DTP-HepB-Hib3: 80  MCV1: 77
PCV3 61 
Pol3 79 
YFV 65
",red,PCV in 2013,green,"2010: 116.1
2015: 98.3
(15.3%)
",red,No (2014),red,0.7 to 1.4 (+101%),green,410,Low income,75,Eligible,"77,267,000","3,127,000","2,994,000",UGANDA_country_report.pdf,COD
Chad,Yes,green,97.80%,green,6.30%,green,9%,green,96%,green,96%,green,"last SIAs occurred in 2014 and 2015. 
From 2014 to January 2015 a first SIA occurred in 35/84 districts of the country. 
In 2015 two rounds of another SIA took place in 46/84 other districts. ",green,Not yet validated,red,54%,red,Not in schedule,red,22%,red,2012,red,No,red,Not introduced (2014),red,SIAs planned 2018,orange,46%,red,23%,red,76000,red,38.3,red,60%,red,"BCG 59
DTP1 60
DTP3-HepB3-Hib 46
MCV1 54
Pol3 54
YFV 40",red,N/A,gray,"2010: 160.1
2015: 138.7
(13.4%)",red,No,red,4.3 to 4.8 (+13%),orange,980,Low Income,85,Eligible,"14,037,000","630,000","573,000",UGANDA_country_report.pdf,TCD
Nigeria,Yes,green,99.10%,green,18%,green,2%,green,40%,red,55%,red,"The last activity happened in October 2014, targeting 62/774 districts of the country. 
A campaign was organised in May 2016.",red,Not yet validated - planning a pre-validation assessment in 1-2 geopolitical zones before the end of the year,red,51%,red,Not in schedule,red,53%,red,2011,red,No,red,Not introduced (2014),red,SIAs planned 2019,orange,66%,red,12%,red,610000,red,72.3,red,80%,orange,"BCG: 74
DTP1 75
DTP3-HepB3-Hib3 66
MCV1 51
Pol3 66
YFV 49",red,PCV in 2013; Rota planned 2017,green,"2010: 130.3
2015: 108.8
(16.5%)",red,No,red,4.1 to 12.9 (+216%),green,2950,Lower Middle Income,69,Eligible,"182,202,000","7,133,000","6,622,000",UGANDA_country_report.pdf,NGA
Ethiopia,Yes,green,93.10%,green,2.50%,green,17%,red,92%,green,80%,orange,"4/817 districts were targeted in a campaign that occurred in summer 2015. 
It was the 3rd round of an activity that started in 2012.",green,partial validation in 2011 (remaining Somali Region likely before the end of 2016),orange,70%,red,Not in schedule,red,30%,red,2013,red,No,red,Not introduced (2014),red,SIAs planned 2019,orange,77%,red,10%,orange,269000,orange,37.5,red,74%,red,"BCG 75
DTP1 86
DTP3-HepB3-Hib3 77
MCV1 70
PCV3 76
Pol3 75
Rota 63",red,PCV in 2011; Rota in 2013; HPV Demo in 2015,green,"2010: 75.7
2015: 59.2
(21.8%)",red,No,red,14.8 to 12.1 (-18%),red,550,Low Income,41,Graduate,"99,391,000","3,176,000","3,031,000",UGANDA_country_report.pdf,ETH
Uganda,Yes,green,91.30%,green,3%,green,8%,green,58%,red,85%,orange,N/A,gray,Validated 2011,green,82%,orange,Not in schedule,red,46%,red,2015,green,No,red,Not introduced (2014),red,SIAs planned 2018,orange,78%,red,12%,green,173000,green,0.3,red,89%,red,"BCG 93
DTP1 89
DTP3-HepB3-Hib3 78
MCV1 82
PCV3 50
Pol3 82",red,PCV in 2013; HPV in 2015 and Rota planned Q4 2016,green,"2010: 75.2
2015: 54.6
(27.4%)",red,Yes (2015); No in 2014,green,2.1 to 7.0 (+232%),green,660,Low Income,38,Eligible,"39,032,000","1,665,000","1,568,000",UGANDA_country_report.pdf,UGA
Pakistan,No,red,89.90%,green,9.40%,green,1%,green,68%,red,75%,red,Last activity done was in September 2013.,red,not yet validated. A validation survey being planned for Punjab in October/November 2016,orange,63%,red,53%,orange,33%,red,2008,red,No,red,Not introduced (2014),red,SIAs planned 2018,orange,73%,red,8%,green,258000,green,58.1,red,60%,red,"BCG 85
DTP1 79
DTP3-HepB3-Hib3 73
MCV1 63
MCV2 53
PCV3 68
Pol3 72",red,PCV in 2012 and Rota planned in 2017,green,"2010: 91.8
2015: 81.1
(11.7%)",red,Yes,green,8.5 to 5.8 (-32%),red,1410,Lower Middle Income,66,Eligible,"188,925,000","5,451,000","5,088,000",UGANDA_country_report.pdf,PAK
Iraq,Yes,green,86.10%,green,4.10%,green,7%,green,34%,red,72%,red,N/A,gray,Validated 2013,green,57%,red,57%,orange,16%,red,2015,green,No,red,57%,orange,No information,gray,64%,red,17%,red,135000,red,27.1,red,36%,red,"BCG 95
DTP1 77
DTP3 64
HepB3 62
Hib3 64
MCV1 57
MCV2 57
Pol3 67
Rota 29",red,Rota in 2012 and PCV planned 2016?,green,"2010: 36.6
2015: 32
(12.6%)",green,Yes,green,NA to 97.3,skyblue,6410,Upper Middle Income,27,Not Eligible,"36,423,000","1,244,000","1,206,000",UGANDA_country_report.pdf,IRQ
Indonesia,Yes,green,95.40%,green,1.60%,red,23%,red,63%,red,85%,orange,N/A,gray,Validated May 2016,green,77%,red,79%,orange,39%,red,2007,red,No,red,Not introduced (2014),red,SIAs planned 2017,green,78%,red,17%,red,725000,red,32.6,red,59,red,"BCG 93
DTP1 94
DTP3-HepB3 78
Hib3 21
MCV1 77
MCV2 79
Pol3 79",red,N/A,gray,"2010: 33.1
2015: 27.2
(17.8%)",green,Yes,green,13.2 to 10.7 (-19%),red,3650,Lower Middle Income,23,Graduate,"257,564,000","5,037,000","4,918,000",UGANDA_country_report.pdf,IDN
